Pos,Driver,Nationality,Car,Pts,Year
4,Gerhard BergerBER,AUT,McLaren Honda,43.0,1991
5,Alain ProstPRO,FRA,Ferrari,34.0,1991
6,Nelson PiquetPIQ,BRA,Benetton Ford,26.5,1991
7,Jean AlesiALE,FRA,Ferrari,21.0,1991
8,Stefano ModenaMOD,ITA,Tyrrell Honda,10.0,1991
9,Andrea de CesarisDEC,ITA,Jordan Ford,9.0,1991
10,Roberto MorenoMOR,BRA,Minardi Ferrari,8.0,1991
11,Pierluigi MartiniMAR,ITA,Minardi Ferrari,6.0,1991
12,Jyrki JarvilehtoJAR,FIN,Dallara Judd,4.0,1991
12,Bertrand GachotGAC,FRA,Jordan Ford,4.0,1991
12,Michael SchumacherMSC,GER,Benetton Ford,4.0,1991
15,Mika HakkinenHAK,FIN,Lotus Judd,2.0,1991
15,Martin BrundleBRU,GBR,Brabham Yamaha,2.0,1991
15,Satoru NakajimaNAK,JPN,Tyrrell Honda,2.0,1991
18,Julian BaileyBAI,GBR,Lotus Judd,1.0,1991
18,Eric BernardBER,FRA,Lola Ford,1.0,1991
18,Ivan CapelliCAP,ITA,Leyton House Ilmor,1.0,1991
18,Aguri SuzukiSUZ,JPN,Lola Ford,1.0,1991
18,Emanuele PirroPIR,ITA,Dallara Judd,1.0,1991
18,Mark BlundellBLU,GBR,Brabham Yamaha,1.0,1991
24,Gianni MorbidelliMOR,ITA,Ferrari,0.5,1991
1,Nigel MansellMAN,GBR,Williams Renault,108.0,1992
2,Riccardo PatresePAT,ITA,Williams Renault,56.0,1992
3,Michael SchumacherMSC,GER,Benetton Ford,53.0,1992
4,Ayrton SennaSEN,BRA,McLaren Honda,50.0,1992
5,Gerhard BergerBER,AUT,McLaren Honda,49.0,1992
6,Martin BrundleBRU,GBR,Benetton Ford,38.0,1992
7,Jean AlesiALE,FRA,Ferrari,18.0,1992
8,Mika HakkinenHAK,FIN,Lotus Ford,11.0,1992
9,Andrea de CesarisDEC,ITA,Tyrrell Ilmor,8.0,1992
10,Michele AlboretoALB,ITA,Footwork Mugen Honda,6.0,1992
11,Erik ComasCOM,FRA,Ligier Renault,4.0,1992
12,Karl WendlingerWEN,AUT,March Ilmor,3.0,1992
12,Ivan CapelliCAP,ITA,Ferrari,3.0,1992
14,Thierry BoutsenBOU,BEL,Ligier Renault,2.0,1992
15,Pierluigi MartiniMAR,ITA,Dallara Ferrari,2.0,1992
16,Johnny HerbertHER,GBR,Lotus Ford,2.0,1992
17,Stefano ModenaMOD,ITA,Jordan Yamaha,1.0,1992
18,Christian FittipaldiFIT,BRA,Minardi Lamborghini,1.0,1992
19,Bertrand GachotGAC,FRA,Venturi Lamborghini,1.0,1992
1,Alain ProstPRO,FRA,Williams Renault,99.0,1993
2,Ayrton SennaSEN,BRA,McLaren Ford,73.0,1993
3,Damon HillHIL,GBR,Williams Renault,69.0,1993
4,Michael SchumacherMSC,GER,Benetton Ford,52.0,1993
5,Riccardo PatresePAT,ITA,Benetton Ford,20.0,1993
6,Jean AlesiALE,FRA,Ferrari,16.0,1993
7,Martin BrundleBRU,GBR,Ligier Renault,13.0,1993
8,Gerhard BergerBER,AUT,Ferrari,12.0,1993
9,Johnny HerbertHER,GBR,Lotus Ford,11.0,1993
10,Mark BlundellBLU,GBR,Ligier Renault,10.0,1993
11,Michael AndrettiAND,USA,McLaren Ford,7.0,1993
12,Karl WendlingerWEN,AUT,Sauber,7.0,1993
13,Christian FittipaldiFIT,BRA,Minardi Ford,5.0,1993
13,Jyrki JarvilehtoJAR,FIN,Sauber,5.0,1993
15,Mika HakkinenHAK,FIN,McLaren Ford,4.0,1993
16,Derek WarwickWAR,GBR,Footwork Mugen Honda,4.0,1993
17,Philippe AlliotALL,FRA,Larrousse Lamborghini,2.0,1993
17,Rubens BarrichelloBAR,BRA,Jordan Hart,2.0,1993
19,Fabrizio BarbazzaBAR,ITA,Minardi Ford,2.0,1993
20,Alessandro ZanardiZAN,ITA,Lotus Ford,1.0,1993
20,Erik ComasCOM,FRA,Larrousse Lamborghini,1.0,1993
20,Eddie IrvineIRV,GBR,Jordan Hart,1.0,1993
1,Michael SchumacherMSC,GER,Benetton Ford,92.0,1994
2,Damon HillHIL,GBR,Williams Renault,91.0,1994
3,Gerhard BergerBER,AUT,Ferrari,41.0,1994
4,Mika HakkinenHAK,FIN,McLaren Peugeot,26.0,1994
5,Jean AlesiALE,FRA,Ferrari,24.0,1994
6,Rubens BarrichelloBAR,BRA,Jordan Hart,19.0,1994
7,Martin BrundleBRU,GBR,McLaren Peugeot,16.0,1994
8,David CoulthardCOU,GBR,Williams Renault,14.0,1994
9,Nigel MansellMAN,GBR,Williams Renault,13.0,1994
10,Jos VerstappenVER,NED,Benetton Ford,10.0,1994
11,Olivier PanisPAN,FRA,Ligier Renault,9.0,1994
12,Mark BlundellBLU,GBR,Tyrrell Yamaha,8.0,1994
13,Heinz-Harald FrentzenFRE,GER,Sauber Mercedes,7.0,1994
14,Nicola LariniLAR,ITA,Ferrari,6.0,1994
15,Christian FittipaldiFIT,BRA,Footwork Ford,6.0,1994
16,Eddie IrvineIRV,GBR,Jordan Hart,6.0,1994
17,Ukyo KatayamaKAT,JPN,Tyrrell Yamaha,5.0,1994
18,Eric BernardBER,FRA,Lotus Mugen Honda,4.0,1994
19,Karl WendlingerWEN,AUT,Sauber Mercedes,4.0,1994
20,Andrea de CesarisDEC,ITA,Sauber Mercedes,4.0,1994
21,Pierluigi MartiniMAR,ITA,Minardi Ford,4.0,1994
22,Gianni MorbidelliMOR,ITA,Footwork Ford,3.0,1994
23,Erik ComasCOM,FRA,Larrousse Ford,2.0,1994
24,Michele AlboretoALB,ITA,Minardi Ford,1.0,1994
25,Jyrki JarvilehtoJAR,FIN,Sauber Mercedes,1.0,1994
1,Michael SchumacherMSC,GER,Benetton Renault,102.0,1995
2,Damon HillHIL,GBR,Williams Renault,69.0,1995
3,David CoulthardCOU,GBR,Williams Renault,49.0,1995
4,Johnny HerbertHER,GBR,Benetton Renault,45.0,1995
5,Jean AlesiALE,FRA,Ferrari,42.0,1995
6,Gerhard BergerBER,AUT,Ferrari,31.0,1995
7,Mika HakkinenHAK,FIN,McLaren Mercedes,17.0,1995
8,Olivier PanisPAN,FRA,Ligier Mugen Honda,16.0,1995
9,Heinz-Harald FrentzenFRE,GER,Sauber Ford,15.0,1995
10,Mark BlundellBLU,GBR,McLaren Mercedes,13.0,1995
11,Rubens BarrichelloBAR,BRA,Jordan Peugeot,11.0,1995
12,Eddie IrvineIRV,GBR,Jordan Peugeot,10.0,1995
13,Martin BrundleBRU,GBR,Ligier Mugen Honda,7.0,1995
14,Gianni MorbidelliMOR,ITA,Footwork Hart,5.0,1995
15,Mika SaloSAL,FIN,Tyrrell Yamaha,5.0,1995
16,Jean-Christophe BoullionBOU,FRA,Sauber Ford,3.0,1995
17,Aguri SuzukiSUZ,JPN,Ligier Mugen Honda,1.0,1995
18,Pedro LamyLAM,POR,Minardi Ford,1.0,1995
1,Damon HillHIL,GBR,Williams Renault,97.0,1996
2,Jacques VilleneuveVIL,CAN,Williams Renault,78.0,1996
3,Michael SchumacherMSC,GER,Ferrari,59.0,1996
4,Jean AlesiALE,FRA,Benetton Renault,47.0,1996
5,Mika HakkinenHAK,FIN,McLaren Mercedes,31.0,1996
6,Gerhard BergerBER,AUT,Benetton Renault,21.0,1996
7,David CoulthardCOU,GBR,McLaren Mercedes,18.0,1996
8,Rubens BarrichelloBAR,BRA,Jordan Peugeot,14.0,1996
9,Olivier PanisPAN,FRA,Ligier Mugen Honda,13.0,1996
10,Eddie IrvineIRV,GBR,Ferrari,11.0,1996
11,Martin BrundleBRU,GBR,Jordan Peugeot,8.0,1996
12,Heinz-Harald FrentzenFRE,GER,Sauber Ford,7.0,1996
13,Mika SaloSAL,FIN,Tyrrell Yamaha,5.0,1996
14,Johnny HerbertHER,GBR,Sauber Ford,4.0,1996
15,Pedro DinizDIN,BRA,Ligier Mugen Honda,2.0,1996
16,Jos VerstappenVER,NED,Footwork Hart,1.0,1996
1,Jacques VilleneuveVIL,CAN,Williams Renault,81.0,1997
DQ,Michael SchumacherMSC,GER,Ferrari,78.0,1997
2,Heinz-Harald FrentzenFRE,GER,Williams Renault,42.0,1997
3,David CoulthardCOU,GBR,McLaren Mercedes,36.0,1997
4,Jean AlesiALE,FRA,Benetton Renault,36.0,1997
5,Gerhard BergerBER,AUT,Benetton Renault,27.0,1997
6,Mika HakkinenHAK,FIN,McLaren Mercedes,27.0,1997
7,Eddie IrvineIRV,GBR,Ferrari,24.0,1997
8,Giancarlo FisichellaFIS,ITA,Jordan Peugeot,20.0,1997
9,Olivier PanisPAN,FRA,Prost Mugen Honda,16.0,1997
10,Johnny HerbertHER,GBR,Sauber Petronas,15.0,1997
11,Ralf SchumacherRSC,GER,Jordan Peugeot,13.0,1997
12,Damon HillHIL,GBR,Arrows Yamaha,7.0,1997
13,Rubens BarrichelloBAR,BRA,Stewart Ford,6.0,1997
14,Alexander WurzWUR,AUT,Benetton Renault,4.0,1997
15,Jarno TrulliTRU,ITA,Prost Mugen Honda,3.0,1997
16,Mika SaloSAL,FIN,Tyrrell Ford,2.0,1997
17,Pedro DinizDIN,BRA,Arrows Yamaha,2.0,1997
18,Shinji NakanoNAK,JPN,Prost Mugen Honda,2.0,1997
19,Nicola LariniLAR,ITA,Sauber Petronas,1.0,1997
1,Mika HakkinenHAK,FIN,McLaren Mercedes,100.0,1998
2,Michael SchumacherMSC,GER,Ferrari,86.0,1998
3,David CoulthardCOU,GBR,McLaren Mercedes,56.0,1998
4,Eddie IrvineIRV,GBR,Ferrari,47.0,1998
5,Jacques VilleneuveVIL,CAN,Williams Mecachrome,21.0,1998
6,Damon HillHIL,GBR,Jordan Mugen Honda,20.0,1998
7,Heinz-Harald FrentzenFRE,GER,Williams Mecachrome,17.0,1998
8,Alexander WurzWUR,AUT,Benetton Playlife,17.0,1998
9,Giancarlo FisichellaFIS,ITA,Benetton Playlife,16.0,1998
10,Ralf SchumacherRSC,GER,Jordan Mugen Honda,14.0,1998
11,Jean AlesiALE,FRA,Sauber Petronas,9.0,1998
12,Rubens BarrichelloBAR,BRA,Stewart Ford,4.0,1998
13,Mika SaloSAL,FIN,Arrows,3.0,1998
14,Pedro DinizDIN,BRA,Arrows,3.0,1998
15,Johnny HerbertHER,GBR,Sauber Petronas,1.0,1998
16,Jan MagnussenMAG,DEN,Stewart Ford,1.0,1998
17,Jarno TrulliTRU,ITA,Prost Peugeot,1.0,1998
18,Ricardo RossetROS,BRA,Tyrrell Ford,0.0,1998
19,Olivier PanisPAN,FRA,Prost Peugeot,0.0,1998
20,Toranosuke TakagiTAK,JPN,Tyrrell Ford,0.0,1998
21,Shinji NakanoNAK,JPN,Minardi Ford,0.0,1998
22,Esteban TueroTUE,ARG,Minardi Ford,0.0,1998
23,Jos VerstappenVER,NED,Stewart Ford,0.0,1998
1,Mika HakkinenHAK,FIN,McLaren Mercedes,76.0,1999
2,Eddie IrvineIRV,GBR,Ferrari,74.0,1999
3,Heinz-Harald FrentzenFRE,GER,Jordan Mugen Honda,54.0,1999
4,David CoulthardCOU,GBR,McLaren Mercedes,48.0,1999
5,Michael SchumacherMSC,GER,Ferrari,44.0,1999
6,Ralf SchumacherRSC,GER,Williams Supertec,35.0,1999
7,Rubens BarrichelloBAR,BRA,Stewart Ford,21.0,1999
8,Johnny HerbertHER,GBR,Stewart Ford,15.0,1999
9,Giancarlo FisichellaFIS,ITA,Benetton Playlife,13.0,1999
10,Mika SaloSAL,FIN,Ferrari,10.0,1999
11,Jarno TrulliTRU,ITA,Prost Peugeot,7.0,1999
12,Damon HillHIL,GBR,Jordan Mugen Honda,7.0,1999
13,Alexander WurzWUR,AUT,Benetton Playlife,3.0,1999
14,Pedro DinizDIN,BRA,Sauber Petronas,3.0,1999
15,Olivier PanisPAN,FRA,Prost Peugeot,2.0,1999
16,Jean AlesiALE,FRA,Sauber Petronas,2.0,1999
17,Pedro de la RosaDLR,ESP,Arrows,1.0,1999
18,Marc GeneGEN,ESP,Minardi Ford,1.0,1999
1,Michael SchumacherMSC,GER,Ferrari,108.0,2000
2,Mika HakkinenHAK,FIN,McLaren Mercedes,89.0,2000
3,David CoulthardCOU,GBR,McLaren Mercedes,73.0,2000
4,Rubens BarrichelloBAR,BRA,Ferrari,62.0,2000
5,Ralf SchumacherRSC,GER,Williams BMW,24.0,2000
6,Giancarlo FisichellaFIS,ITA,Benetton Playlife,18.0,2000
7,Jacques VilleneuveVIL,CAN,BAR Honda,17.0,2000
8,Jenson ButtonBUT,GBR,Williams BMW,12.0,2000
9,Heinz-Harald FrentzenFRE,GER,Jordan Mugen Honda,11.0,2000
10,Jarno TrulliTRU,ITA,Jordan Mugen Honda,6.0,2000
11,Mika SaloSAL,FIN,Sauber Petronas,6.0,2000
12,Jos VerstappenVER,NED,Arrows Supertec,5.0,2000
13,Eddie IrvineIRV,GBR,Jaguar Cosworth,4.0,2000
14,Ricardo ZontaZON,BRA,BAR Honda,3.0,2000
15,Alexander WurzWUR,AUT,Benetton Playlife,2.0,2000
16,Pedro de la RosaDLR,ESP,Arrows Supertec,2.0,2000
17,Pedro DinizDIN,BRA,Sauber Petronas,0.0,2000
18,Johnny HerbertHER,GBR,Jaguar Cosworth,0.0,2000
19,Marc GeneGEN,ESP,Minardi Fondmetal,0.0,2000
20,Gaston MazzacaneMAZ,ARG,Minardi Fondmetal,0.0,2000
21,Nick HeidfeldHEI,GER,Prost Peugeot,0.0,2000
22,Jean AlesiALE,FRA,Prost Peugeot,0.0,2000
23,Luciano BurtiBUR,BRA,Jaguar Cosworth,0.0,2000
1,Michael SchumacherMSC,GER,Ferrari,123.0,2001
2,David CoulthardCOU,GBR,McLaren Mercedes,65.0,2001
3,Rubens BarrichelloBAR,BRA,Ferrari,56.0,2001
4,Ralf SchumacherRSC,GER,Williams BMW,49.0,2001
5,Mika HakkinenHAK,FIN,McLaren Mercedes,37.0,2001
6,Juan Pablo MontoyaMOY,COL,Williams BMW,31.0,2001
7,Jacques VilleneuveVIL,CAN,BAR Honda,12.0,2001
8,Nick HeidfeldHEI,GER,Sauber Petronas,12.0,2001
9,Jarno TrulliTRU,ITA,Jordan Honda,12.0,2001
10,Kimi RäikkönenRAI,FIN,Sauber Petronas,9.0,2001
11,Giancarlo FisichellaFIS,ITA,Benetton Renault,8.0,2001
12,Eddie IrvineIRV,GBR,Jaguar Cosworth,6.0,2001
13,Heinz-Harald FrentzenFRE,GER,Prost Acer,6.0,2001
14,Olivier PanisPAN,FRA,BAR Honda,5.0,2001
15,Jean AlesiALE,FRA,Jordan Honda,5.0,2001
16,Pedro de la RosaDLR,ESP,Jaguar Cosworth,3.0,2001
17,Jenson ButtonBUT,GBR,Benetton Renault,2.0,2001
18,Jos VerstappenVER,NED,Arrows Asiatech,1.0,2001
1,Michael SchumacherMSC,GER,Ferrari,144.0,2002
2,Rubens BarrichelloBAR,BRA,Ferrari,77.0,2002
3,Juan Pablo MontoyaMOY,COL,Williams BMW,50.0,2002
4,Ralf SchumacherRSC,GER,Williams BMW,42.0,2002
5,David CoulthardCOU,GBR,McLaren Mercedes,41.0,2002
6,Kimi RäikkönenRAI,FIN,McLaren Mercedes,24.0,2002
7,Jenson ButtonBUT,GBR,Renault,14.0,2002
8,Jarno TrulliTRU,ITA,Renault,9.0,2002
9,Eddie IrvineIRV,GBR,Jaguar Cosworth,8.0,2002
10,Nick HeidfeldHEI,GER,Sauber Petronas,7.0,2002
11,Giancarlo FisichellaFIS,ITA,Jordan Honda,7.0,2002
12,Jacques VilleneuveVIL,CAN,BAR Honda,4.0,2002
13,Felipe MassaMAS,BRA,Sauber Petronas,4.0,2002
14,Olivier PanisPAN,FRA,BAR Honda,3.0,2002
15,Takuma SatoSAT,JPN,Jordan Honda,2.0,2002
16,Mark WebberWEB,AUS,Minardi Asiatech,2.0,2002
17,Mika SaloSAL,FIN,Toyota,2.0,2002
18,Heinz-Harald FrentzenFRE,GER,Sauber Petronas,2.0,2002
19,Allan McNishMCN,GBR,Toyota,0.0,2002
20,Alex YoongYOO,MAS,Minardi Asiatech,0.0,2002
21,Pedro de la RosaDLR,ESP,Jaguar Cosworth,0.0,2002
22,Enrique BernoldiBER,BRA,Arrows Cosworth,0.0,2002
1,Michael SchumacherMSC,GER,Ferrari,93.0,2003
2,Kimi RäikkönenRAI,FIN,McLaren Mercedes,91.0,2003
3,Juan Pablo MontoyaMOY,COL,Williams BMW,82.0,2003
4,Rubens BarrichelloBAR,BRA,Ferrari,65.0,2003
5,Ralf SchumacherRSC,GER,Williams BMW,58.0,2003
6,Fernando AlonsoALO,ESP,Renault,55.0,2003
7,David CoulthardCOU,GBR,McLaren Mercedes,51.0,2003
8,Jarno TrulliTRU,ITA,Renault,33.0,2003
9,Jenson ButtonBUT,GBR,BAR Honda,17.0,2003
10,Mark WebberWEB,AUS,Jaguar Cosworth,17.0,2003
11,Heinz-Harald FrentzenFRE,GER,Sauber Petronas,13.0,2003
12,Giancarlo FisichellaFIS,ITA,Jordan Ford,12.0,2003
13,Cristiano da MattaDAM,BRA,Toyota,10.0,2003
14,Nick HeidfeldHEI,GER,Sauber Petronas,6.0,2003
15,Olivier PanisPAN,FRA,Toyota,6.0,2003
16,Jacques VilleneuveVIL,CAN,BAR Honda,6.0,2003
17,Marc GeneGEN,ESP,Williams BMW,4.0,2003
18,Takuma SatoSAT,JPN,BAR Honda,3.0,2003
19,Ralph FirmanFIR,IRL,Jordan Ford,1.0,2003
20,Justin WilsonWIL,GBR,Jaguar Cosworth,1.0,2003
21,Antonio PizzoniaPIZ,BRA,Jaguar Cosworth,0.0,2003
22,Jos VerstappenVER,NED,Minardi Cosworth,0.0,2003
23,Nicolas KiesaKIE,DEN,Minardi Cosworth,0.0,2003
24,Zsolt BaumgartnerBAU,HUN,Jordan Ford,0.0,2003
1,Michael SchumacherMSC,GER,Ferrari,148.0,2004
2,Rubens BarrichelloBAR,BRA,Ferrari,114.0,2004
3,Jenson ButtonBUT,GBR,BAR Honda,85.0,2004
4,Fernando AlonsoALO,ESP,Renault,59.0,2004
5,Juan Pablo MontoyaMOY,COL,Williams BMW,58.0,2004
6,Jarno TrulliTRU,ITA,Toyota,46.0,2004
7,Kimi RäikkönenRAI,FIN,McLaren Mercedes,45.0,2004
8,Takuma SatoSAT,JPN,BAR Honda,34.0,2004
9,Ralf SchumacherRSC,GER,Williams BMW,24.0,2004
10,David CoulthardCOU,GBR,McLaren Mercedes,24.0,2004
11,Giancarlo FisichellaFIS,ITA,Sauber Petronas,22.0,2004
12,Felipe MassaMAS,BRA,Sauber Petronas,12.0,2004
13,Mark WebberWEB,AUS,Jaguar Cosworth,7.0,2004
14,Olivier PanisPAN,FRA,Toyota,6.0,2004
15,Antonio PizzoniaPIZ,BRA,Williams BMW,6.0,2004
16,Christian KlienKLI,AUT,Jaguar Cosworth,3.0,2004
17,Cristiano da MattaDAM,BRA,Toyota,3.0,2004
18,Nick HeidfeldHEI,GER,Jordan Ford,3.0,2004
19,Timo GlockGLO,GER,Jordan Ford,2.0,2004
20,Zsolt BaumgartnerBAU,HUN,Minardi Cosworth,1.0,2004
21,Jacques VilleneuveVIL,CAN,Renault,0.0,2004
22,Ricardo ZontaZON,BRA,Toyota,0.0,2004
23,Marc GeneGEN,ESP,Williams BMW,0.0,2004
24,Giorgio PantanoPAN,ITA,Jordan Ford,0.0,2004
25,Gianmaria BruniBRU,ITA,Minardi Cosworth,0.0,2004
1,Fernando AlonsoALO,ESP,Renault,133.0,2005
2,Kimi RäikkönenRAI,FIN,McLaren Mercedes,112.0,2005
3,Michael SchumacherMSC,GER,Ferrari,62.0,2005
4,Juan Pablo MontoyaMOY,COL,McLaren Mercedes,60.0,2005
5,Giancarlo FisichellaFIS,ITA,Renault,58.0,2005
6,Ralf SchumacherRSC,GER,Toyota,45.0,2005
7,Jarno TrulliTRU,ITA,Toyota,43.0,2005
8,Rubens BarrichelloBAR,BRA,Ferrari,38.0,2005
9,Jenson ButtonBUT,GBR,BAR Honda,37.0,2005
10,Mark WebberWEB,AUS,Williams BMW,36.0,2005
11,Nick HeidfeldHEI,GER,Williams BMW,28.0,2005
12,David CoulthardCOU,GBR,RBR Cosworth,24.0,2005
13,Felipe MassaMAS,BRA,Sauber Petronas,11.0,2005
14,Jacques VilleneuveVIL,CAN,Sauber Petronas,9.0,2005
15,Christian KlienKLI,AUT,RBR Cosworth,9.0,2005
16,Tiago MonteiroMON,POR,Jordan Toyota,7.0,2005
17,Alexander WurzWUR,AUT,McLaren Mercedes,6.0,2005
18,Narain KarthikeyanKAR,IND,Jordan Toyota,5.0,2005
19,Christijan AlbersALB,NED,Minardi Cosworth,4.0,2005
20,Pedro de la RosaDLR,ESP,McLaren Mercedes,4.0,2005
21,Patrick Friesacher FRI,AUT,Minardi Cosworth,3.0,2005
22,Antonio PizzoniaPIZ,BRA,Williams BMW,2.0,2005
23,Takuma SatoSAT,JPN,BAR Honda,1.0,2005
24,Vitantonio LiuzziLIU,ITA,RBR Cosworth,1.0,2005
25,Robert DoornbosDOO,MON,Minardi Cosworth,0.0,2005
1,Fernando AlonsoALO,ESP,Renault,134.0,2006
2,Michael SchumacherMSC,GER,Ferrari,121.0,2006
3,Felipe MassaMAS,BRA,Ferrari,80.0,2006
4,Giancarlo FisichellaFIS,ITA,Renault,72.0,2006
5,Kimi RäikkönenRAI,FIN,McLaren Mercedes,65.0,2006
6,Jenson ButtonBUT,GBR,Honda,56.0,2006
7,Rubens BarrichelloBAR,BRA,Honda,30.0,2006
8,Juan Pablo MontoyaMOY,COL,McLaren Mercedes,26.0,2006
9,Nick HeidfeldHEI,GER,Sauber BMW,23.0,2006
10,Ralf SchumacherRSC,GER,Toyota,20.0,2006
11,Pedro de la RosaDLR,ESP,McLaren Mercedes,19.0,2006
12,Jarno TrulliTRU,ITA,Toyota,15.0,2006
13,David CoulthardCOU,GBR,RBR Ferrari,14.0,2006
14,Mark WebberWEB,AUS,Williams Cosworth,7.0,2006
15,Jacques VilleneuveVIL,CAN,Sauber BMW,7.0,2006
16,Robert KubicaKUB,POL,Sauber BMW,6.0,2006
17,Nico RosbergROS,GER,Williams Cosworth,4.0,2006
18,Christian KlienKLI,AUT,RBR Ferrari,2.0,2006
19,Vitantonio LiuzziLIU,ITA,STR Cosworth,1.0,2006
20,Scott SpeedSPE,USA,STR Cosworth,0.0,2006
21,Tiago MonteiroMON,POR,MF1 Toyota,0.0,2006
22,Christijan AlbersALB,NED,MF1 Toyota,0.0,2006
23,Takuma SatoSAT,JPN,Super Aguri Honda,0.0,2006
24,Robert DoornbosDOO,NED,RBR Ferrari,0.0,2006
25,Yuji IdeIDE,JPN,Super Aguri Honda,0.0,2006
26,Sakon YamamotoYAM,JPN,Super Aguri Honda,0.0,2006
27,Franck MontagnyMON,FRA,Super Aguri Honda,0.0,2006
1,Kimi RäikkönenRAI,FIN,Ferrari,110.0,2007
2,Lewis HamiltonHAM,GBR,McLaren Mercedes,109.0,2007
3,Fernando AlonsoALO,ESP,McLaren Mercedes,109.0,2007
4,Felipe MassaMAS,BRA,Ferrari,94.0,2007
5,Nick HeidfeldHEI,GER,Sauber BMW,61.0,2007
6,Robert KubicaKUB,POL,Sauber BMW,39.0,2007
7,Heikki KovalainenKOV,FIN,Renault,30.0,2007
8,Giancarlo FisichellaFIS,ITA,Renault,21.0,2007
9,Nico RosbergROS,GER,Williams Toyota,20.0,2007
10,David CoulthardCOU,GBR,Red Bull Renault,14.0,2007
11,Alexander WurzWUR,AUT,Williams Toyota,13.0,2007
12,Mark WebberWEB,AUS,Red Bull Renault,10.0,2007
13,Jarno TrulliTRU,ITA,Toyota,8.0,2007
14,Sebastian VettelVET,GER,STR Ferrari,6.0,2007
15,Jenson ButtonBUT,GBR,Honda,6.0,2007
16,Ralf SchumacherRSC,GER,Toyota,5.0,2007
17,Takuma SatoSAT,JPN,Super Aguri Honda,4.0,2007
18,Vitantonio LiuzziLIU,ITA,STR Ferrari,3.0,2007
19,Adrian SutilSUT,GER,Spyker Ferrari,1.0,2007
20,Rubens BarrichelloBAR,BRA,Honda,0.0,2007
21,Scott SpeedSPE,USA,STR Ferrari,0.0,2007
22,Kazuki NakajimaNAK,JPN,Williams Toyota,0.0,2007
23,Anthony DavidsonDAV,GBR,Super Aguri Honda,0.0,2007
24,Sakon YamamotoYAM,JPN,Spyker Ferrari,0.0,2007
25,Christijan AlbersALB,NED,Spyker Ferrari,0.0,2007
1,Lewis HamiltonHAM,GBR,McLaren Mercedes,98.0,2008
2,Felipe MassaMAS,BRA,Ferrari,97.0,2008
3,Kimi RäikkönenRAI,FIN,Ferrari,75.0,2008
4,Robert KubicaKUB,POL,Sauber BMW,75.0,2008
5,Fernando AlonsoALO,ESP,Renault,61.0,2008
6,Nick HeidfeldHEI,GER,Sauber BMW,60.0,2008
7,Heikki KovalainenKOV,FIN,McLaren Mercedes,53.0,2008
8,Sebastian VettelVET,GER,STR Ferrari,35.0,2008
9,Jarno TrulliTRU,ITA,Toyota,31.0,2008
10,Timo GlockGLO,GER,Toyota,25.0,2008
11,Mark WebberWEB,AUS,Red Bull Renault,21.0,2008
12,Nelson PiquetPIQ,BRA,Renault,19.0,2008
13,Nico RosbergROS,GER,Williams Toyota,17.0,2008
14,Rubens BarrichelloBAR,BRA,Honda,11.0,2008
15,Kazuki NakajimaNAK,JPN,Williams Toyota,9.0,2008
16,David CoulthardCOU,GBR,Red Bull Renault,8.0,2008
17,Sebastien BourdaisBOU,FRA,STR Ferrari,4.0,2008
18,Jenson ButtonBUT,GBR,Honda,3.0,2008
19,Giancarlo FisichellaFIS,ITA,Force India Ferrari,0.0,2008
20,Adrian SutilSUT,GER,Force India Ferrari,0.0,2008
21,Takuma SatoSAT,JPN,Super Aguri Honda,0.0,2008
22,Anthony DavidsonDAV,GBR,Super Aguri Honda,0.0,2008
1,Jenson ButtonBUT,GBR,Brawn Mercedes,95.0,2009
2,Sebastian VettelVET,GER,RBR Renault,84.0,2009
3,Rubens BarrichelloBAR,BRA,Brawn Mercedes,77.0,2009
4,Mark WebberWEB,AUS,RBR Renault,69.5,2009
5,Lewis HamiltonHAM,GBR,McLaren Mercedes,49.0,2009
6,Kimi RäikkönenRAI,FIN,Ferrari,48.0,2009
7,Nico RosbergROS,GER,Williams Toyota,34.5,2009
8,Jarno TrulliTRU,ITA,Toyota,32.5,2009
9,Fernando AlonsoALO,ESP,Renault,26.0,2009
10,Timo GlockGLO,GER,Toyota,24.0,2009
11,Felipe MassaMAS,BRA,Ferrari,22.0,2009
12,Heikki KovalainenKOV,FIN,McLaren Mercedes,22.0,2009
13,Nick HeidfeldHEI,GER,Sauber BMW,19.0,2009
14,Robert KubicaKUB,POL,Sauber BMW,17.0,2009
15,Giancarlo FisichellaFIS,ITA,Ferrari,8.0,2009
16,Sebastien BuemiBUE,SUI,STR Ferrari,6.0,2009
17,Adrian SutilSUT,GER,Force India Mercedes,5.0,2009
18,Kamui KobayashiKOB,JPN,Toyota,3.0,2009
19,Sebastien BourdaisBOU,FRA,STR Ferrari,2.0,2009
20,Kazuki NakajimaNAK,JPN,Williams Toyota,0.0,2009
21,Nelson PiquetPIQ,BRA,Renault,0.0,2009
22,Vitantonio LiuzziLIU,ITA,Force India Mercedes,0.0,2009
23,Romain GrosjeanGRO,FRA,Renault,0.0,2009
24,Jaime AlguersuariALG,ESP,STR Ferrari,0.0,2009
25,Luca BadoerBAD,ITA,Ferrari,0.0,2009
1,Sebastian VettelVET,GER,RBR Renault,256.0,2010
2,Fernando AlonsoALO,ESP,Ferrari,252.0,2010
3,Mark WebberWEB,AUS,RBR Renault,242.0,2010
